cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
11.289729932349335,7.9854432013752135,15.934736766449205,0.536363,0.08259635,0.11359783,0.098242685,0.07798655,0.091213554,0.05856100042900882,3750.0,0.044950515265355054,0.4227571914641872,0.12508397539266022,amh,False,False,True,False,False,False,False
11.379972996989967,10.77166225943753,9.947754854791805,0.48016134,0.086341925,0.12042384,0.106929645,0.09082275,0.11532052,0.09523259118556007,3150.0,0.02660410816292025,0.3764727777473954,0.5337340604880662,tgl,False,False,True,False,False,False,False
11.419371183226659,7.773442524411533,3.2332308063887445,0.47289243,0.08901012,0.124553286,0.1084799,0.09620265,0.10886159,0.09381126679328926,3200.0,0.021872056907647704,1.381263690888213,0.7961709168323123,arz,False,False,True,False,False,False,False
11.398520652417194,10.932793683492122,17.09416276113293,0.4774704,0.09014053,0.12308206,0.1065828,0.09180344,0.11092077,0.0980387278101946,3100.0,0.04104974750637608,3.093233674603687,3.9354100399972802,zul,False,False,True,False,False,False,False
11.193974230823759,14.183089304145833,11.329106681024864,0.4692502,0.09379508,0.11832031,0.108421564,0.09421727,0.11599553,0.1,3700.0,0.052994387291213876,0.5148296582798841,1.4451830589502093,mar,False,False,True,False,False,False,False
11.376999977733487,10.846457413845329,10.761084323499475,0.5150254,0.08806838,0.108435705,0.10154532,0.084343545,0.102581695,0.09141890544055371,3400.0,0.02125292716650671,1.362258392850092,0.3115557354724459,hye,False,False,True,False,False,False,False
11.290542398400577,16.89602226989604,14.180419108312169,0.44621953,0.084846154,0.12806843,0.11229111,0.108851954,0.11972282,0.09993906368539338,3850.0,0.039262778933211055,2.088256834028972,1.933201840747204,xho,False,False,True,False,False,False,False
11.434576131556195,9.889572489605214,10.035767934912624,0.4762593,0.08768527,0.12382736,0.10878786,0.09499613,0.10844406,0.08293260479690605,3750.0,0.04746236106179029,0.3570681356515635,0.5941498163840329,kan,False,False,True,False,False,False,False
11.477338620945778,7.704401740383919,11.304436090477182,0.50692236,0.08241302,0.11031345,0.105940506,0.09342062,0.10099007,0.07406715564067716,3250.0,0.0303863416610369,1.2258607947088875,0.6916750286535867,mya,False,False,True,False,False,False,False
11.389871337066658,8.77169183531451,4.550663843647534,0.44818753,0.09295885,0.13061377,0.115023315,0.10002629,0.11319021,0.09999054087523773,3550.0,0.02080991586642083,1.0919630320118852,1.0217402009606686,jav,False,False,True,False,False,False,False
11.904340010549845,9.644808353653158,10.878381061087353,0.51955354,0.079317965,0.10571708,0.09902406,0.097285025,0.099102296,0.07207975698724159,3100.0,0.02663418080959475,0.9279954268891576,0.7934351664465854,tam,False,False,True,False,False,False,False
