cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,morphological_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.6400862650284758,3.0642686225786187,3.4489536285519145,0.016207505,0.028770199,0.0058785635,0.018900933,0.008410529,0.010789249,0.006207416,0.0039960635,0.0055619506,0.01462895,0.010915356,0.0061900127,0.015402054,0.0067323446,0.0042965068,0.025688704,0.016222399,0.0063330955,0.0063345754,0.004685549,0.004207871,0.0067396,0.0037393656,0.003200769,0.0063782027,0.008287554,0.006551698,0.009356344,0.0073951753,0.0030285385,0.008536211,0.011991052,0.00349146,0.0065162024,0.005515854,0.15427026,0.019093325,0.45645374,0.05309481,0.023715410245600626,3550.0,0.011400830329141472,0.08714987494936227,0.1440051413922257,sin,False,True,True,True,True,True,True
3.6720438872585293,3.089017216338247,3.5013077319278936,0.018050278,0.035789,0.004414891,0.020526346,0.008407065,0.007808571,0.007522431,0.006615312,0.004948818,0.011797374,0.0073340214,0.0060755936,0.011145654,0.006386593,0.0036617077,0.019831631,0.015501234,0.0053584785,0.0068641277,0.0073212334,0.004955289,0.0070164925,0.0037167645,0.0029933024,0.006362873,0.0066078776,0.0061791814,0.010917247,0.0077296766,0.0026006903,0.008033251,0.015392932,0.004031841,0.0025819188,0.006063254,0.16099443,0.024552198,0.45491353,0.048996903,0.047881246342043146,2900.0,0.08750535186300305,0.25501906056386603,0.5241775579079069,fao,False,True,True,True,True,True,True
3.587547379277867,3.320235862719098,5.7357660464288704,0.018589718,0.03061159,0.0045779883,0.013444193,0.007670483,0.005004139,0.006775059,0.0043629203,0.0051954845,0.014677746,0.011455053,0.007991483,0.010850484,0.0056592315,0.0044155177,0.020247418,0.015957171,0.005387664,0.007675357,0.0052049393,0.0042723096,0.0058827354,0.0040908186,0.002916371,0.008240046,0.011210939,0.006921905,0.010698597,0.0061583435,0.0021245205,0.008530092,0.014307955,0.0036231957,0.003297579,0.006166702,0.16321458,0.027451262,0.45059317,0.054545194,0.031550470135674316,3200.0,0.015425199708649258,0.13902450968104044,0.47650403257277696,amh,False,True,True,True,True,True,True
3.7293459258382233,2.711017951629102,2.649456105772812,0.018341472,0.032518655,0.004797279,0.0154028265,0.00727316,0.005802698,0.006754467,0.0039801425,0.004337217,0.014011795,0.005906006,0.0057065645,0.010043458,0.006519177,0.0037402487,0.023669712,0.016463032,0.005568124,0.007820492,0.005256367,0.0042379173,0.008185232,0.0038620736,0.00345672,0.007972037,0.0062717944,0.008476805,0.010586852,0.008728907,0.0027422602,0.006623809,0.015476143,0.0032620882,0.004739738,0.004793826,0.15813887,0.021545464,0.4654061,0.05158048,0.04345221512928756,3450.0,0.051364734196712544,0.17294719909806047,0.10268636889101096,tgl,False,True,True,True,True,True,True
3.6696176151708535,5.9103188090014855,1.574621395475109,0.01806649,0.027333742,0.0055719153,0.01774181,0.007722444,0.008297315,0.006596455,0.0048339283,0.0056781513,0.012745619,0.0066093737,0.004872934,0.011315404,0.006319133,0.0034486477,0.014516294,0.01628449,0.0055285105,0.007464736,0.0058999634,0.0042242995,0.0069700526,0.0035866448,0.0034299376,0.0071671726,0.0071020005,0.007255117,0.011287951,0.0075830603,0.0021966887,0.007696415,0.014645398,0.0035450172,0.004365796,0.006546607,0.16220275,0.021977719,0.46414813,0.05722192,0.0359485434488113,3000.0,0.02899816476463223,0.14999772801551955,0.18362729464256655,lmo,False,True,True,True,True,True,True
3.6676639302497307,1.1675195352903114,1.9447234710810108,0.01858964,0.028749129,0.0055978848,0.016597804,0.008196232,0.009290457,0.0065921843,0.0049669268,0.0056384453,0.012850143,0.006881164,0.005512693,0.011541894,0.0071459524,0.003661818,0.016709153,0.015876109,0.005884032,0.0075095207,0.005755218,0.004441348,0.007232712,0.0039908765,0.0031952919,0.006970322,0.008133995,0.007377971,0.011014001,0.008173822,0.0024229982,0.0072226063,0.013542138,0.0038134183,0.0036060861,0.0058798725,0.15786557,0.026195865,0.46365562,0.05171912,0.030612614934410164,2250.0,0.061158059689890534,0.1441078829996971,0.13652798208749295,arz,False,True,True,True,True,True,True
3.6440931397655625,5.242495502006724,3.0835156952296296,0.016978439,0.028705552,0.0048932256,0.014869342,0.007857472,0.010654109,0.009237061,0.00780477,0.0042886357,0.013515796,0.00830829,0.005122412,0.012705414,0.006647859,0.0050253468,0.021411043,0.014468713,0.008140788,0.0065514543,0.0052661304,0.0035045303,0.0068212673,0.0037603076,0.0035976507,0.00759063,0.009749075,0.0059372713,0.009332393,0.008099483,0.003145954,0.0099268835,0.012630383,0.0038220815,0.0036744042,0.0047044395,0.16199546,0.032355785,0.45117936,0.04572078,0.04138246836312411,3750.0,0.06166509965990289,0.17509581507556635,0.09429638233541003,kaz,False,True,True,True,True,True,True
3.6534690889638375,6.831036847861706,4.331533553030565,0.018727424,0.031188652,0.0047246055,0.015494402,0.0077833957,0.008873975,0.0073210695,0.0060281763,0.0060147727,0.010294062,0.003672023,0.0049453094,0.012354278,0.007643184,0.003911828,0.020419886,0.016957527,0.006704379,0.006837095,0.005071551,0.0039634407,0.007506824,0.0031383596,0.0037591376,0.007703062,0.0071031167,0.00578385,0.01001299,0.007573813,0.0021200578,0.009555421,0.013861105,0.0032590262,0.002463915,0.005653828,0.15989003,0.021230366,0.46207085,0.05838319,0.04606600745639535,3550.0,0.03508668240901435,0.17601192461847792,0.2734240556256133,zul,False,True,True,True,True,True,True
3.758577950318023,4.783273809949961,3.3034918672418376,0.016436692,0.048656236,0.0051189237,0.019215865,0.014900048,0.0063709626,0.006993967,0.0049088513,0.0063810125,0.008841408,0.009024094,0.006829492,0.011793107,0.008328194,0.004473113,0.020124674,0.0193762,0.0059652156,0.0078021577,0.0050149774,0.0040798755,0.008683177,0.0038327202,0.0034519837,0.008540249,0.0069146464,0.008328728,0.012225704,0.008903051,0.002975997,0.007460779,0.015932163,0.0030625886,0.0037410322,0.005781863,0.14641204,0.024767613,0.44653407,0.041816488,0.033095318971978586,3950.0,0.031406920478525995,0.14602085707807252,0.11830066744545377,mar,False,True,True,True,True,True,True
3.6993977528292192,3.4492096402389003,2.953338556819207,0.01900006,0.03772738,0.0051309518,0.013141153,0.007302421,0.009728392,0.008065693,0.0027232436,0.0064345235,0.012328554,0.0071070045,0.0047775162,0.01165375,0.0073504,0.0043888777,0.018753339,0.016620016,0.0069472133,0.006279564,0.0067912517,0.004015045,0.0061232434,0.0037933015,0.0043001715,0.0067498707,0.00745952,0.005514444,0.01060481,0.0074265623,0.002766905,0.006891197,0.015548493,0.0037213569,0.002960403,0.00660128,0.15825114,0.025842581,0.45484835,0.05433007,0.04378595276536708,3500.0,0.04102437102302366,0.19625507475263063,0.2198523232806224,hye,False,True,True,True,True,True,True
