source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
cebu1242,stan1293,1.0,0.4046,0.6678,0.5371,0.2566,0.629,0.7818
stan1293,bela1254,0.8934,0.0725,0.6227,0.5005,0.319,0.5971,0.7068
stan1293,kiny1244,1.0,0.2595,0.7326,0.5182,0.5335,0.6692,0.7734
occi1239,stan1293,0.9359,0.0469,0.5586,0.4697,0.2566,0.5441,0.6837
sind1272,stan1293,0.9131,0.2493,0.7023,0.494,0.3418,0.6236,0.693
stan1293,maor1246,1.0,0.5179,0.6613,0.6198,0.6169,0.6709,0.8068
kiny1244,stan1293,1.0,0.2595,0.7326,0.5182,0.5335,0.6692,0.7734
shon1251,stan1293,1.0,0.3141,0.7305,0.5348,0.4576,0.6717,0.7651
maor1246,stan1293,1.0,0.5179,0.6613,0.6198,0.6169,0.6709,0.8068
turk1304,stan1293,1.0,0.1941,0.7363,0.4938,0.1789,0.6474,0.6907
chha1249,stan1293,0.9131,0.2951,0.6597,0.6054,0.5426,0.6468,0.6792
sout2832,stan1293,1.0,0.2191,0.7169,0.5293,0.3021,0.65,0.7986
luxe1241,stan1293,0.6336,0.0255,0.7886,0.7678,0.7434,0.7912,0.885
nucl1417,stan1293,1.0,0.2142,0.6773,0.4772,0.4413,0.6242,0.7818
stan1293,shon1251,1.0,0.3141,0.7305,0.5348,0.4576,0.6717,0.7651
kirg1245,stan1293,1.0,0.2167,0.726,0.5503,0.3931,0.6505,0.6707
stan1293,nucl1347,1.0,0.1752,0.5822,0.4731,0.3743,0.5677,0.7277
