cv_rmse,test_source_rmse,test_target_rmse,alpha,beta_w,beta_h,beta_z,beta_s,beta_t,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.8904097486188443,4.971051225492431,5.867366349116494,0.0082,0.1,0.1,0.01,0.01,0.01,0.04806976525207472,0.4139292931339369,1.6401739604501364,bew,False,False,True,False,False,False,False
2.9668788734371097,4.035612363340023,3.335506593059661,0.0064,0.1,0.1,0.01,0.01,0.01,0.03944713017884509,0.15232100169967333,0.10867412213735753,btk,False,False,True,False,False,False,False
1.868756895544467,9.684339520879332,13.402320026946374,0.01,0.1,0.1,0.1,0.01,0.01,0.02759152506037646,0.07618440679799944,0.13771557446196167,ind,False,False,True,False,False,False,False
2.928524297798714,5.275014355787929,3.9436801398633143,0.0082,0.1,0.1,0.01,0.01,0.01,0.11707729843796683,0.1799241879485797,0.283462764853795,jav,False,False,True,False,False,False,False
3.112728488608989,6.267683731939309,9.725849869239749,0.01,0.1,0.1,0.01,0.01,0.01,0.058762291004620354,0.16351126520097842,0.39127686680883983,mad,False,False,True,False,False,False,False
3.2353504145393375,6.672127643635806,7.29587808964807,0.0028000000000000004,0.1,0.1,0.01,0.01,0.01,0.07011663421188376,0.1582866618465049,0.28633465666598723,mak,False,False,True,False,False,False,False
3.377266504851233,6.799548511805554,10.952070709626708,0.01,0.1,0.1,0.01,0.01,0.01,0.059962622706075,0.25857994189503736,0.23144690541959145,min,False,False,True,False,False,False,False
3.1161275856954678,3.838180057794614,4.283067738215931,0.01,0.1,0.1,0.01,0.01,0.01,0.054498314256203606,0.07715256389449958,0.2740715840598518,sun,False,False,True,False,False,False,False
