source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological,scriptural
stan1293,kiny1244,1.0,0.2595,0.7234,0.5182,0.5335,0.6656,0.7771,0.0
occi1239,stan1293,0.9359,0.0469,0.5536,0.4697,0.2566,0.5425,0.6892,0.0
sind1272,stan1293,0.9131,0.2493,0.6791,0.494,0.3418,0.6135,0.6983,0.6863
stan1293,maor1246,1.0,0.5179,0.6613,0.6198,0.6169,0.6717,0.8099,0.0
kiny1244,stan1293,1.0,0.2595,0.7234,0.5182,0.5335,0.6656,0.7771,0.0
shon1251,stan1293,1.0,0.3141,0.7338,0.5348,0.4878,0.6753,0.7689,0.0
maor1246,stan1293,1.0,0.5179,0.6613,0.6198,0.6169,0.6717,0.8099,0.0
turk1304,stan1293,1.0,0.1941,0.7421,0.4823,0.2566,0.6512,0.696,0.1722
chha1249,stan1293,0.9131,0.2951,0.6597,0.6054,0.5426,0.6459,0.6736,0.6879
sout2832,stan1293,1.0,0.2191,0.6597,0.6054,0.5426,0.6459,0.6736,0.0
luxe1241,stan1293,0.6336,0.0255,0.7886,0.7857,0.7434,0.7964,0.8869,0.0
nucl1417,stan1293,1.0,0.2142,0.6655,0.4772,0.4413,0.6191,0.7854,0.0
stan1293,shon1251,1.0,0.3141,0.7338,0.5348,0.4878,0.6753,0.7689,0.0
kirg1245,stan1293,1.0,0.2167,0.7264,0.5503,0.3931,0.6498,0.6667,0.4469
stan1293,nucl1347,1.0,0.1752,0.567,0.4731,0.4225,0.5635,0.7323,0.0
