source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological,scriptural
plat1254,stan1293,1.0,0.3437,0.6323,0.5093,0.2513,0.5828,0.6812,0.2952
nucl1302,stan1293,1.0,0.154,0.5972,0.5667,0.4918,0.5978,0.6712,0.3498
haus1257,stan1293,1.0,0.1885,0.4278,0.5337,0.4225,0.4834,0.5713,0.2952
stan1293,chha1249,0.9131,0.2951,0.5569,0.5983,0.5228,0.5829,0.645,0.5354
panj1256,stan1293,0.9131,0.2534,0.5795,0.4336,0.2513,0.5284,0.6534,0.5319
stan1293,faro1244,0.7323,0.044,0.4184,0.4697,0.1789,0.4697,0.7106,0.1864
stan1293,turk1304,1.0,0.1941,0.6696,0.4823,0.1789,0.586,0.616,0.2952
cebu1242,stan1293,1.0,0.4046,0.5896,0.5371,0.3141,0.5743,0.7323,0.1864
stan1293,bela1254,0.8934,0.0725,0.5023,0.5026,0.2566,0.5153,0.614,0.2952
stan1293,kiny1244,1.0,0.2595,0.6529,0.5182,0.5335,0.6086,0.7125,0.1864
occi1239,stan1293,0.9359,0.0469,0.4278,0.4464,0.2566,0.4551,0.6068,0.1864
sind1272,stan1293,0.9131,0.2493,0.5849,0.494,0.3418,0.5429,0.619,0.5319
stan1293,maor1246,1.0,0.5179,0.5702,0.6198,0.6169,0.6179,0.7634,0.1864
kiny1244,stan1293,1.0,0.2595,0.6529,0.5182,0.5335,0.6086,0.7125,0.1864
shon1251,stan1293,1.0,0.3141,0.6664,0.5348,0.4878,0.6222,0.7112,0.1864
maor1246,stan1293,1.0,0.5179,0.5702,0.6198,0.6169,0.6179,0.7634,0.1864
turk1304,stan1293,1.0,0.1941,0.6696,0.4823,0.1789,0.586,0.616,0.2952
chha1249,stan1293,0.9131,0.2951,0.5569,0.5983,0.5228,0.5829,0.645,0.5354
sout2832,stan1293,1.0,0.2191,0.5569,0.5983,0.5228,0.5829,0.645,0.5096
luxe1241,stan1293,0.6336,0.0255,0.7264,0.7509,0.7434,0.7493,0.86,0.1864
nucl1417,stan1293,1.0,0.2142,0.5726,0.4772,0.4413,0.5521,0.7323,0.1864
stan1293,shon1251,1.0,0.3141,0.6664,0.5348,0.4878,0.6222,0.7112,0.1864
kirg1245,stan1293,1.0,0.2167,0.6567,0.5503,0.3931,0.5914,0.5765,0.2952
stan1293,nucl1347,1.0,0.1752,0.4507,0.4731,0.3743,0.487,0.6638,0.2952
