source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological,scriptural
beta1252,bima1247,0.6854,0.0528,0.7894,0.7438,0.631,0.776,0.8143,0.6936
beta1252,indo1316,0.3217,0.0133,0.5448,0.409,0.3333,0.4899,0.5335,0.0
beta1252,java1254,0.6854,0.0313,0.5348,0.5122,0.4407,0.5071,0.3277,0.0
beta1252,nucl1460,0.5641,0.0274,0.5822,0.5062,0.3333,0.5238,0.4034,0.0
beta1252,maka1311,0.7149,0.0581,0.584,0.3844,0.2804,0.5188,0.6267,0.4235
beta1252,mina1268,0.3217,0.0681,0.5298,0.3857,0.3333,0.4606,0.4034,0.0
beta1252,sund1252,0.5641,0.0032,0.4502,0.4097,0.2804,0.4336,0.5058,0.0
bima1247,beta1252,0.6854,0.0528,0.7894,0.7438,0.631,0.776,0.8143,0.6936
bima1247,indo1316,0.6854,0.0399,0.7746,0.6746,0.5641,0.7457,0.7976,0.6936
bima1247,java1254,0.5903,0.0501,0.7787,0.6179,0.5641,0.7348,0.8058,0.6936
bima1247,nucl1460,0.5903,0.0257,0.7787,0.6391,0.5641,0.738,0.7896,0.6936
bima1247,maka1311,0.631,0.0148,0.7851,0.6981,0.5859,0.7513,0.7532,0.369
bima1247,mina1268,0.6854,0.1152,0.7872,0.6839,0.5641,0.7536,0.7896,0.6936
bima1247,sund1252,0.5903,0.0518,0.7546,0.6885,0.5859,0.7369,0.782,0.6936
indo1316,beta1252,0.3217,0.0133,0.5448,0.409,0.3333,0.4899,0.5335,0.0
indo1316,bima1247,0.6854,0.0399,0.7746,0.6746,0.5641,0.7457,0.7976,0.6936
indo1316,java1254,0.6854,0.0314,0.2972,0.3606,0.3729,0.3534,0.4878,0.0
indo1316,nucl1460,0.5641,0.015,0.3862,0.4158,0.2617,0.3972,0.4685,0.0
indo1316,maka1311,0.7149,0.0466,0.5243,0.3516,0.1864,0.467,0.6118,0.4235
indo1316,mina1268,0.3217,0.0804,0.5021,0.2541,0.2617,0.4093,0.4685,0.0
indo1316,sund1252,0.5641,0.012,0.5101,0.3483,0.1864,0.4578,0.6116,0.0
java1254,beta1252,0.6854,0.0313,0.5348,0.5122,0.4407,0.5071,0.3277,0.0
java1254,bima1247,0.5903,0.0501,0.7787,0.6179,0.5641,0.7348,0.8058,0.6936
java1254,indo1316,0.6854,0.0314,0.2972,0.3606,0.3729,0.3534,0.4878,0.0
java1254,nucl1460,0.5903,0.031,0.3477,0.3285,0.2617,0.3347,0.3548,0.0
java1254,maka1311,0.631,0.0469,0.4969,0.4722,0.3277,0.5012,0.6445,0.4235
java1254,mina1268,0.6854,0.07,0.5076,0.3871,0.3729,0.4494,0.439,0.0
java1254,sund1252,0.5903,0.0337,0.5136,0.4477,0.3277,0.4854,0.5319,0.0
nucl1460,beta1252,0.5641,0.0274,0.5822,0.5062,0.3333,0.5238,0.4034,0.0
nucl1460,bima1247,0.5903,0.0257,0.7787,0.6391,0.5641,0.738,0.7896,0.6936
nucl1460,indo1316,0.5641,0.015,0.3862,0.4158,0.2617,0.3972,0.4685,0.0
nucl1460,java1254,0.5903,0.031,0.3477,0.3285,0.2617,0.3347,0.3548,0.0
nucl1460,maka1311,0.631,0.0317,0.4797,0.435,0.1864,0.4787,0.6736,0.4235
nucl1460,mina1268,0.5641,0.0912,0.5242,0.4664,0.2617,0.4727,0.4246,0.0
nucl1460,sund1252,0.4097,0.0268,0.5558,0.3806,0.1864,0.4848,0.5734,0.0
maka1311,beta1252,0.7149,0.0581,0.584,0.3844,0.2804,0.5188,0.6267,0.4235
maka1311,bima1247,0.631,0.0148,0.7851,0.6981,0.5859,0.7513,0.7532,0.369
maka1311,indo1316,0.7149,0.0466,0.5243,0.3516,0.1864,0.467,0.6118,0.4235
maka1311,java1254,0.631,0.0469,0.4969,0.4722,0.3277,0.5012,0.6445,0.4235
maka1311,nucl1460,0.631,0.0317,0.4797,0.435,0.1864,0.4787,0.6736,0.4235
maka1311,mina1268,0.7149,0.1151,0.5731,0.2839,0.1864,0.4786,0.6279,0.4235
maka1311,sund1252,0.631,0.058,0.648,0.4093,0.0,0.5666,0.7278,0.4235
mina1268,beta1252,0.3217,0.0681,0.5298,0.3857,0.3333,0.4606,0.4034,0.0
mina1268,bima1247,0.6854,0.1152,0.7872,0.6839,0.5641,0.7536,0.7896,0.6936
mina1268,indo1316,0.3217,0.0804,0.5021,0.2541,0.2617,0.4093,0.4685,0.0
mina1268,java1254,0.6854,0.07,0.5076,0.3871,0.3729,0.4494,0.439,0.0
mina1268,nucl1460,0.5641,0.0912,0.5242,0.4664,0.2617,0.4727,0.4246,0.0
mina1268,maka1311,0.7149,0.1151,0.5731,0.2839,0.1864,0.4786,0.6279,0.4235
mina1268,sund1252,0.5641,0.0705,0.4897,0.4154,0.1864,0.4436,0.4513,0.0
sund1252,beta1252,0.5641,0.0032,0.4502,0.4097,0.2804,0.4336,0.5058,0.0
sund1252,bima1247,0.5903,0.0518,0.7546,0.6885,0.5859,0.7369,0.782,0.6936
sund1252,indo1316,0.5641,0.012,0.5101,0.3483,0.1864,0.4578,0.6116,0.0
sund1252,java1254,0.5903,0.0337,0.5136,0.4477,0.3277,0.4854,0.5319,0.0
sund1252,nucl1460,0.4097,0.0268,0.5558,0.3806,0.1864,0.4848,0.5734,0.0
sund1252,maka1311,0.631,0.058,0.648,0.4093,0.0,0.5666,0.7278,0.4235
sund1252,mina1268,0.5641,0.0705,0.4897,0.4154,0.1864,0.4436,0.4513,0.0
