source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological,scriptural
stan1293,bash1264,1.0,0.15,0.6917,0.4286,0.3224,0.6101,0.7277,0.1722
ewee1241,stan1293,1.0,0.2049,0.6724,0.5249,0.4697,0.6319,0.7512,0.0
cent1989,stan1293,1.0,0.3638,0.6443,0.5101,0.5184,0.6224,0.7986,0.6657
bash1264,stan1293,1.0,0.15,0.6917,0.4286,0.3224,0.6101,0.7277,0.1722
stan1293,java1254,1.0,0.4052,0.6407,0.4438,0.409,0.5965,0.7986,0.0
stan1293,soma1255,1.0,0.2629,0.6641,0.4645,0.4225,0.5954,0.6345,0.3799
stan1293,sout2832,1.0,0.2191,0.7169,0.5293,0.3021,0.65,0.7986,0.0
plat1254,stan1293,1.0,0.3437,0.7215,0.5093,0.2513,0.6491,0.7414,0.0
nucl1302,stan1293,1.0,0.154,0.6791,0.5667,0.4685,0.6519,0.7335,0.3695
haus1257,stan1293,1.0,0.1885,0.5635,0.5337,0.4225,0.565,0.6645,0.3799
stan1293,chha1249,0.9131,0.2951,0.6597,0.6054,0.5426,0.6468,0.6792,0.6879
panj1256,stan1293,0.9131,0.2534,0.6784,0.4336,0.2513,0.6031,0.7196,0.6863
stan1293,faro1244,0.7323,0.044,0.561,0.5158,0.319,0.5716,0.7646,0.0
stan1293,turk1304,1.0,0.1941,0.7363,0.4938,0.1789,0.6474,0.6907,0.1722
cebu1242,stan1293,1.0,0.4046,0.6678,0.5371,0.2566,0.629,0.7818,0.0
stan1293,bela1254,0.8934,0.0725,0.6227,0.5005,0.319,0.5971,0.7068,0.403
stan1293,kiny1244,1.0,0.2595,0.7326,0.5182,0.5335,0.6692,0.7734,0.0
occi1239,stan1293,0.9359,0.0469,0.5586,0.4697,0.2566,0.5441,0.6837,0.0
sind1272,stan1293,0.9131,0.2493,0.7023,0.494,0.3418,0.6236,0.693,0.6863
stan1293,maor1246,1.0,0.5179,0.6613,0.6198,0.6169,0.6709,0.8068,0.0
kiny1244,stan1293,1.0,0.2595,0.7326,0.5182,0.5335,0.6692,0.7734,0.0
shon1251,stan1293,1.0,0.3141,0.7305,0.5348,0.4576,0.6717,0.7651,0.0
maor1246,stan1293,1.0,0.5179,0.6613,0.6198,0.6169,0.6709,0.8068,0.0
turk1304,stan1293,1.0,0.1941,0.7363,0.4938,0.1789,0.6474,0.6907,0.1722
chha1249,stan1293,0.9131,0.2951,0.6597,0.6054,0.5426,0.6468,0.6792,0.6879
sout2832,stan1293,1.0,0.2191,0.7169,0.5293,0.3021,0.65,0.7986,0.0
luxe1241,stan1293,0.6336,0.0255,0.7886,0.7678,0.7434,0.7912,0.885,0.0
nucl1417,stan1293,1.0,0.2142,0.6773,0.4772,0.4413,0.6242,0.7818,0.0
stan1293,shon1251,1.0,0.3141,0.7305,0.5348,0.4576,0.6717,0.7651,0.0
kirg1245,stan1293,1.0,0.2167,0.726,0.5503,0.3931,0.6505,0.6707,0.4469
stan1293,nucl1347,1.0,0.1752,0.5822,0.4731,0.3743,0.5677,0.7277,0.0
