Source Language,Target Language,Genetic Distance,Geographic Distance,Syntactic Distance,Inventory Distance,Phonological Distance,Morphological Distance,Featural Distance
wels1247,stan1293,[0.9131],[0.0095],[0.4993],[0.5141],[0.3352],[0.5448],[0.5077]
stan1293,nucl1305,[1.0],[0.3013],[0.5975],[0.4738],[0.5588],[0.5903],[0.5814]
swat1243,stan1293,[1.0],[0.3446],[0.6189],[0.5274],[0.5588],[0.6344],[0.6139]
stan1293,lomb1257,[0.9359],[0.0449],[0.4488],[0.4807],[0.3207],[0.4673],[0.4533]
guja1252,stan1293,[0.9196],[0.2639],[0.6854],[0.4753],[0.6587],[0.6737],[0.6547]
stan1293,afri1274,[0.6638],[0.3303],[0.6606],[0.5144],[0.6912],[0.6716],[0.6586]
stan1293,swat1243,[1.0],[0.3446],[0.6189],[0.5274],[0.5588],[0.6344],[0.6139]
stan1293,zulu1248,[1.0],[0.3423],[0.6563],[0.5582],[0.6418],[0.7296],[0.6599]
stan1293,bash1264,[1.0],[0.15],[0.5698],[0.4286],[0.4177],[0.5587],[0.5401]
ewee1241,stan1293,[1.0],[0.2049],[0.6887],[0.5249],[0.5936],[0.7593],[0.6729]
cent1989,stan1293,[1.0],[0.3638],[0.6929],[0.5101],[0.6992],[0.7877],[0.683]
bash1264,stan1293,[1.0],[0.15],[0.5698],[0.4286],[0.4177],[0.5587],[0.5401]
stan1293,java1254,[1.0],[0.4052],[0.6751],[0.4438],[0.6891],[0.7729],[0.6577]
stan1293,soma1255,[1.0],[0.2629],[0.5188],[0.4645],[0.4004],[0.4721],[0.497]
stan1293,sout2832,[1.0],[0.2191],[0.696],[0.5054],[0.6108],[0.7493],[0.6843]
plat1254,stan1293,[1.0],[0.3437],[0.5726],[0.5093],[0.3288],[0.6447],[0.5671]
nucl1302,stan1293,[1.0],[0.154],[0.5638],[0.5667],[0.5328],[0.5936],[0.5758]
haus1257,stan1293,[1.0],[0.1885],[0.5175],[0.5337],[0.4278],[0.6897],[0.5486]
stan1293,chha1249,[0.9131],[0.2951],[0.6901],[0.5026],[0.6108],[0.743],[0.678]
panj1256,stan1293,[0.9131],[0.2534],[0.5703],[0.4336],[0.5349],[0.6102],[0.5563]
stan1293,faro1244,[0.7323],[0.044],[0.4353],[0.4812],[0.3352],[0.5496],[0.463]
stan1293,turk1304,[1.0],[0.1941],[0.5611],[0.4774],[0.5069],[0.563],[0.5504]
cebu1242,stan1293,[1.0],[0.4046],[0.5918],[0.5371],[0.4095],[0.7008],[0.596]
stan1293,bela1254,[0.8934],[0.0725],[0.4761],[0.4866],[0.4004],[0.5189],[0.4853]
stan1293,kiny1244,[1.0],[0.2595],[0.6647],[0.5182],[0.5971],[0.7377],[0.6589]
occi1239,stan1293,[0.9359],[0.0469],[0.4701],[0.5207],[0.3288],[0.5049],[0.4801]
sind1272,stan1293,[0.9131],[0.2493],[0.6393],[0.494],[0.6119],[0.7087],[0.6268]
stan1293,maor1246,[1.0],[0.5179],[0.6439],[0.6198],[0.6802],[0.7671],[0.6697]
kiny1244,stan1293,[1.0],[0.2595],[0.6647],[0.5182],[0.5971],[0.7377],[0.6589]
shon1251,stan1293,[1.0],[0.3141],[0.6643],[0.5348],[0.5854],[0.701],[0.6521]
maor1246,stan1293,[1.0],[0.5179],[0.6439],[0.6198],[0.6802],[0.7671],[0.6697]
turk1304,stan1293,[1.0],[0.1941],[0.5611],[0.4774],[0.5069],[0.563],[0.5504]
chha1249,stan1293,[0.9131],[0.2951],[0.6901],[0.5026],[0.6108],[0.743],[0.678]
sout2832,stan1293,[1.0],[0.2191],[0.696],[0.5054],[0.6108],[0.7493],[0.6843]
luxe1241,stan1293,[0.6336],[0.0255],[0.5733],[0.4928],[0.2352],[0.6737],[0.5677]
nucl1417,stan1293,[1.0],[0.2142],[0.6735],[0.4772],[0.5723],[0.7436],[0.6555]
stan1293,shon1251,[1.0],[0.3141],[0.6643],[0.5348],[0.5854],[0.701],[0.6521]
kirg1245,stan1293,[1.0],[0.2167],[0.5237],[0.5503],[0.3811],[0.507],[0.5181]
stan1293,nucl1347,[1.0],[0.1752],[0.5666],[0.4731],[0.4792],[0.6851],[0.5733]
